firm_name,website,full_url,email_generic,email_founder,founder_name,source,phone,founder_title,state,city,date_added
Top Accounting Firms in New York City - Jan 2026 Rankings,clutch.co,https://clutch.co/accounting/new-york,,,,Google,1768811387,,,,2026-01-19
Anchin: Accounting Advisory Firm | NYC Based CPAs,anchin.com,https://www.anchin.com/,,,,Google,1768811387,,,,2026-01-19
LGT | Dallas Houston CPA firm | Accounting Tax Audit ...,lgt-cpa.com,https://www.lgt-cpa.com/,lgt_horiz_new_color@4x.png,,,Google,"4161866991, 1713467149",,,,2026-01-19
The Bonadio Group | New York State Accounting Firm,bonadio.com,https://www.bonadio.com/,,,,Google,1768811387,,,,2026-01-19
"Carr, Riggs & Ingram | Top 25 Accounting and Advisory Firm",criadv.com,https://www.criadv.com/,,,,Google,"1691515247, 1744137195",,,,2026-01-19
Melton & Melton: Houston Accounting | Texas CPA Firm,melton-melton.com,https://melton-melton.com/,,,,Google,"6776230774, (281) 759-1120",,,,2026-01-19
"Accounting, Tax & Advisory Services in Austin, Texas",cbh.com,https://www.cbh.com/locations/tax-accounting-advisory-services-in-austin-texas/,,,,Google,"6916071281, 2681371322",,,,2026-01-19
Maxwell Locke & Ritter: CPA and Advisory Firm,mlrpc.com,https://www.mlrpc.com/,,,,Google,"1715625255, 1754417320",,,,2026-01-19
"T3 Accounting Services: New York, NY Accounting Firm ...",t3taxcpa.com,https://www.t3taxcpa.com/,tmills@t3taxcpa.com,,,Google,"(631) 532-1578, (770) 629-2728",,,,2026-01-19
"CPA Firm New York: Accounting, Tax & Advisory Services NYC",cpafirmnyc.com,https://www.cpafirmnyc.com/,,,,Google,"7187670737, (718) 767-0737",,,,2026-01-19
Accounting Services - MOME,nyc.gov,https://www.nyc.gov/site/mome/industries/accounting-services.page,,,,Google,"212-891-4086, 1768811388",,,,2026-01-19
Accounting Firm New York City Tax Accountant NY CPA ...,eisneramper.com,https://www.eisneramper.com/about-us/locations/new-york-city-ny/,contact@eisneramper.com,,,Google,"1652107325, 1423689522",,,,2026-01-19
Henry & Peters | Texas-based CPA Firm,henrypeters.com,https://www.henrypeters.com/,,,,Google,,,,,2026-01-19
Whitley Penn | Trusted Accounting Firm for CPA Services,whitleypenn.com,https://www.whitleypenn.com/,whitley.penn@whitleypenn.com,,,Google,"1754513118, 1756325522",,,,2026-01-19
"THE BEST 10 ACCOUNTANTS in NEW YORK, NY",yelp.com,https://www.yelp.com/search?cflt=accountants&find_loc=New+York%2C+NY,,,,Google,"1193376197, 3348112362",,,,2026-01-19
Find a CPA | TXCPA Fort Worth,tx.cpa,https://www.tx.cpa/fortworth/for-the-public/find-a-cpa,"jackrankin@randkllp.com, wtrobinsoncpa@sbcglobal.net",,,Google,"817-831-3553, 817-870-1057",,,,2026-01-19
A Leading Accounting Firm in the Hudson Valley and New ...,rbtcpas.com,https://www.rbtcpas.com/,"tcrown@rbtcpas.com, kcaldwell@visionshr.com",,,Google,"718-772-0850, 518-828-4616",,,,2026-01-19
TSBPA - License Lookup - Texas,tsbpa.texas.gov,https://www.tsbpa.texas.gov/general/database-search.html,,,,Bing,,,,,2026-01-19
"Axley & Rode | East Texas Accounting Firm | CPA, Accounting ...",axleyrode.cpa,https://www.axleyrode.cpa/,,,,Google,,,,,2026-01-19
